title,author,genre,pages,theme_of_the_month,suggested_by,average_stars,meeting_date
The Thursday Murder Club,Richard Osman,Mystery,382,None,Laura,3.3,01.02.2025
Gone Girl,Gillian Flynn,Mystery,415,Book that turned into a movie,Natália,3.8,01.03.2025
